Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"ÓIs this a riddle? How big is it? Tell me some more about it.Ó",15,8.19,50.00,10.08,25.77,5.00,0.00,80.00,53.33,26.67,6.67,6.67,0.00,0.00,0.00,0.00,20.00,6.67,6.67,6.67,13.33,6.67,0.00,13.33,13.33,6.67,6.67,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,0.00,0.00,13.33,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,6.67,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt know that about you.,6,1.80,95.20,98.01,25.77,6.00,0.00,83.33,66.67,50.00,33.33,16.67,0.00,16.67,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Your occupation?,2,1.80,99.00,1.00,25.77,2.00,50.00,100.00,50.00,50.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
"Yes, iÕm a human, well most of the time.",9,99.00,86.68,4.97,99.00,9.00,0.00,88.89,44.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,0.00,11.11,0.00,0.00,0.00,11.11,11.11,0.00,0.00,11.11,11.11,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,11.11,0.00,33.33,11.11,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Do you really think so? I'm not really sure about the best. I just got here to your planet so I'm not a good judge of that.,27,1.00,3.22,92.47,99.00,9.00,0.00,96.30,74.07,22.22,18.52,11.11,0.00,7.41,0.00,0.00,3.70,7.41,11.11,11.11,25.93,7.41,7.41,18.52,3.70,3.70,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,7.41,0.00,0.00,0.00,0.00,22.22,3.70,0.00,0.00,0.00,3.70,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.81,0.00,3.70,7.41,11.11,0.00,3.70,14.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.52,7.41,0.00,0.00,0.00,3.70,0.00,0.00,0.00,7.41,0.00,0.00
How do you think?,4,1.00,99.00,74.76,25.77,4.00,0.00,100.00,75.00,25.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,25.00,0.00,50.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,50.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
Not much ...,2,1.80,1.00,99.00,25.77,2.00,0.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Buffalo I love you forever and ever goodbye,8,1.80,99.00,99.00,99.00,8.00,37.50,87.50,50.00,25.00,25.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I donÕt have time for that.,6,17.96,4.80,98.01,25.77,6.00,0.00,83.33,66.67,33.33,16.67,16.67,0.00,0.00,0.00,0.00,16.67,0.00,16.67,16.67,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,16.67,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"How do you respond to ""e4 e5""?",7,5.53,99.00,1.00,25.77,7.00,14.29,71.43,57.14,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,14.29,14.29,14.29,0.00,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.86,0.00,0.00,0.00,0.00,14.29,0.00,0.00,28.57,0.00,0.00,0.00
"34957 to 70764 = Ah yes, 34957 is a type of cheese that is made from sheepÕs milk. ItÕs not very popular though",22,68.79,18.16,2.40,94.75,11.00,9.09,72.73,45.45,4.55,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,13.64,9.09,9.09,4.55,4.55,13.64,4.55,0.00,0.00,13.64,0.00,4.55,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,13.64,0.00,4.55,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,4.55,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,9.09,4.55,0.00,13.64,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55
"Sorry, I have forgotten. Whats your favourite movie?",8,1.00,89.42,7.84,25.77,4.00,25.00,100.00,50.00,37.50,25.00,12.50,0.00,12.50,0.00,0.00,12.50,0.00,0.00,25.00,0.00,0.00,0.00,37.50,12.50,0.00,0.00,0.00,0.00,25.00,12.50,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.50,12.50,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
It is better to serve than to be served ... so whatÕs next? I donÕt know that word keyhole! Poor typing is the bane of my life! I donÕt know that word Speaking of which ... incidentally ... gesticulating is when a man talks bollocks!,42,54.14,31.71,52.86,25.77,6.00,11.90,76.19,47.62,16.67,7.14,7.14,0.00,0.00,0.00,0.00,9.52,4.76,11.90,9.52,4.76,4.76,0.00,21.43,9.52,4.76,4.76,0.00,0.00,4.76,2.38,2.38,0.00,0.00,0.00,7.14,0.00,0.00,0.00,2.38,7.14,4.76,0.00,0.00,0.00,0.00,2.38,2.38,0.00,2.38,0.00,4.76,2.38,2.38,0.00,0.00,4.76,0.00,2.38,2.38,2.38,0.00,0.00,16.67,0.00,7.14,0.00,0.00,7.14,2.38,0.00,0.00,2.38,0.00,0.00,2.38,2.38,0.00,0.00,0.00,0.00,30.95,21.43,0.00,0.00,0.00,2.38,7.14,0.00,0.00,0.00,0.00,0.00
I'm inside your PC Computer.,5,8.19,97.69,99.00,25.77,5.00,20.00,100.00,60.00,40.00,40.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00
Are you just trying to test my memory Andrrew?,9,17.96,86.68,58.07,25.77,9.00,11.11,88.89,55.56,22.22,22.22,11.11,0.00,11.11,0.00,0.00,0.00,0.00,11.11,11.11,11.11,0.00,0.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,11.11,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00
Abercrombie & so much else!,4,1.80,1.00,74.76,25.77,4.00,25.00,75.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,25.00
"I donÕt recognise that name, did yo make it up? IÕm going to call you Õa humanÕ.My name is Aidan Gray..",22,43.68,96.52,61.34,25.77,11.00,4.55,81.82,40.91,22.73,13.64,9.09,0.00,4.55,0.00,0.00,9.09,0.00,9.09,9.09,0.00,0.00,0.00,18.18,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.73,0.00,0.00,0.00,0.00,9.09,4.55,4.55,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,4.55,0.00,0.00,4.55,9.09,4.55,9.09,4.55,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,22.73,13.64,4.55,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00
Does that question interest you?,5,1.00,99.00,43.37,99.00,5.00,40.00,100.00,60.00,40.00,20.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00
I would say a bread was white or brown.,9,17.96,13.32,4.97,25.77,9.00,0.00,100.00,55.56,11.11,11.11,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,22.22,0.00,11.11,0.00,33.33,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,11.11,0.00,11.11,33.33,22.22,11.11,0.00,11.11,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
shut up,2,99.00,50.00,99.00,25.77,2.00,0.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"I would hold eyes a lot, and my database.",9,17.96,1.38,4.97,25.77,9.00,11.11,77.78,55.56,22.22,22.22,22.22,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,11.11,0.00,22.22,0.00,0.00,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,0.00,0.00,11.11,11.11,0.00,0.00,11.11,11.11,0.00,0.00,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,11.11,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Sometimes I wish I was the only person in the world, only for about 2 weeks lol. So yeah why donÕt you all just disappear for 2 weeks and give me a break.",33,56.58,61.92,70.57,80.64,16.50,6.06,90.91,54.55,12.12,12.12,9.09,0.00,3.03,0.00,0.00,0.00,9.09,12.12,3.03,18.18,6.06,0.00,12.12,0.00,0.00,3.03,6.06,3.03,3.03,3.03,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,12.12,0.00,3.03,3.03,3.03,3.03,0.00,3.03,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,6.06,3.03,18.18,0.00,6.06,9.09,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,3.03,3.03,0.00,0.00,9.09,6.06,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
A woman identifies. Do you identify too?,7,28.22,99.00,89.63,25.77,3.50,28.57,100.00,57.14,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,14.29,0.00,28.57,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00
"My circle of relations is not so huge.  I am not so lucky to be familiar with a lot of persons .  I have already told you that you can call me Tanya .  Hmmm...  I know here is a Loebner prize competition.  Turing test.  I am here for you to have fun, What.  So, I hope you are having it .",59,3.59,50.00,45.61,99.00,7.38,10.17,94.92,67.80,23.73,18.64,11.86,0.00,6.78,0.00,0.00,5.08,3.39,10.17,16.95,10.17,5.08,3.39,20.34,5.08,0.00,1.69,0.00,1.69,6.78,6.78,0.00,0.00,0.00,0.00,11.86,0.00,0.00,0.00,0.00,11.86,3.39,0.00,1.69,5.08,0.00,3.39,1.69,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.47,1.69,3.39,3.39,3.39,0.00,3.39,18.64,1.69,3.39,0.00,1.69,1.69,3.39,1.69,0.00,0.00,0.00,0.00,1.69,0.00,1.69,0.00,1.69,0.00,20.34,16.95,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I dream of living in Iceland some day,8,99.00,10.58,99.00,25.77,8.00,12.50,87.50,37.50,12.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ItÕs a fuzzy line where smart computing ends and intelligence begins. You could say nothing yet is really intelligent.,19,12.16,70.08,50.35,99.00,9.50,21.05,89.47,47.37,5.26,5.26,0.00,0.00,5.26,0.00,0.00,0.00,5.26,0.00,10.53,15.79,5.26,5.26,21.05,5.26,0.00,5.26,0.00,0.00,15.79,15.79,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,21.05,0.00,0.00,5.26,5.26,5.26,5.26,10.53,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,21.05,0.00,5.26,15.79,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"[No response]",2,1.80,1.00,1.00,25.77,2.00,50.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"Im not used to choose the specifics. I try almost everything that possible to try . Pff... I have a lot of favorite drinks, especially those that I have not tried. I especially like Calvados, aha .",35,21.75,1.15,62.17,78.19,7.00,20.00,91.43,62.86,25.71,14.29,14.29,0.00,0.00,0.00,0.00,11.43,5.71,11.43,8.57,8.57,0.00,5.71,20.00,2.86,2.86,0.00,0.00,2.86,2.86,2.86,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,37.14,2.86,2.86,0.00,14.29,11.43,5.71,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,2.86,8.57,0.00,8.57,0.00,0.00,0.00,5.71,14.29,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.71,20.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Who is tango?,3,1.00,99.00,1.00,25.77,3.00,0.00,66.67,66.67,33.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00
"Hey, What, you don't need to test me with 'names' tasks .  Very strange that u test this things.  I call you What :P",23,2.59,98.44,1.00,1.00,7.67,4.35,95.65,60.87,43.48,21.74,8.70,0.00,13.04,0.00,0.00,21.74,0.00,8.70,4.35,4.35,0.00,4.35,8.70,4.35,0.00,8.70,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,21.74,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,0.00,8.70,0.00,4.35,0.00,0.00,0.00,34.78,8.70,8.70,4.35,0.00,0.00,0.00,0.00,0.00,13.04,0.00,0.00
"Hmmm...I might. But not right now. Maybe later, Ok?",10,1.00,1.00,99.00,99.00,3.33,0.00,100.00,60.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,30.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,10.00,10.00,10.00,0.00,70.00,50.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
Hello there. Your name is Andrew. My name is Millie.,10,1.80,99.00,3.37,25.77,3.33,0.00,80.00,50.00,20.00,20.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"[No response]",2,1.80,1.00,1.00,25.77,2.00,50.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
I donÕt know if I play chess,7,5.53,1.00,99.00,99.00,7.00,0.00,85.71,42.86,28.57,28.57,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,0.00,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
