source,text,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
HUMAN,"I guess you can do same things, but they are incapsulated in your interface. Am I right?",17,1,88.03,91.95,25.77,8.5,11.76,88.24,70.59,35.29,29.41,11.76,0,11.76,0,5.88,5.88,0,5.88,23.53,0,5.88,0,23.53,5.88,5.88,0,0,0,0,0,0,0,0,0,17.65,0,0,0,0,11.76,0,0,0,5.88,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.41,0,11.76,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,17.65,5.88,5.88,0,0,5.88,0,0,0,0,0,0
MACHINE,"I have some functionality I can call at will, yes ?",10,8.19,15.86,93.3,25.77,10,10,90,60,20,20,20,0,0,0,0,0,0,10,30,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,0,10,0,0,0,0,0,0,0,10,0,0,10,0,0,20,0,10,0,0,10,0,0,0,0,0,0
HUMAN,"call at will, is that goods delivery?",7,28.22,92.33,89.63,25.77,7,14.29,85.71,57.14,14.29,0,0,0,0,0,0,14.29,0,14.29,28.57,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,28.57,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0
MACHINE,"I mean, I can call some functions to answer questions like math, wikipedia and others",15,51.43,9.13,99,25.77,15,20,86.67,46.67,20,13.33,13.33,0,0,0,0,6.67,0,13.33,6.67,0,6.67,0,6.67,6.67,6.67,0,0,6.67,0,0,0,0,0,0,6.67,0,0,0,0,33.33,20,0,0,13.33,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,13.33,0,13.33,0,0,0,0,0,0,0,0,0
HUMAN,I thought so,3,1,1,99,25.77,3,33.33,100,66.67,33.33,33.33,33.33,0,0,0,0,0,0,0,0,33.33,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,"Today you are less speakable, I realized",7,5.53,92.33,99,25.77,7,28.57,85.71,42.86,28.57,28.57,14.29,0,14.29,0,0,0,0,0,14.29,0,0,0,28.57,14.29,14.29,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0
MACHINE,I'm sorry for that :/,5,8.19,2.31,43.37,1,5,0,100,60,40,20,20,0,0,0,0,20,0,20,20,0,0,0,20,20,0,0,0,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0
HUMAN,Something happened?,2,1.8,50,1,25.77,2,100,100,50,50,0,0,0,0,0,0,50,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0
MACHINE,I'm just having some congestion of chats ?,7,5.53,50,13.15,25.77,7,14.29,100,57.14,14.29,14.29,14.29,0,0,0,0,0,0,14.29,28.57,14.29,0,0,28.57,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,14.29,0,0,0,0,0,0,14.29,0,14.29,0,0,14.29,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,14.29,0,0,0,14.29,0,0
HUMAN,I'm going to watch westfall series. How good is it?,10,1.8,15.86,93.3,99,5,10,100,50,20,10,10,0,0,0,0,10,0,10,20,10,10,0,30,0,0,10,0,10,10,10,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,30,10,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0,0,10,0,0,0,10,0,0
MACHINE,Let me see...,3,1,1,98.01,25.77,3,0,100,66.67,33.33,33.33,33.33,0,0,0,0,0,0,0,33.33,0,0,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0
HUMAN,Westworld,1,92.84,50,99,25.77,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,Sorry,1,92.84,50,1,1,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Westworld is good!! Also a bit violent and twisted,9,17.96,50,58.07,25.77,4.5,33.33,100,44.44,0,0,0,0,0,0,0,0,11.11,0,11.11,11.11,22.22,0,22.22,11.11,0,0,0,11.11,22.22,11.11,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,11.11,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,22.22,0,0,0,0,0
MACHINE,Let me know if you like it!,7,1,50,89.63,99,7,14.29,100,71.43,42.86,28.57,14.29,0,14.29,0,0,14.29,0,0,14.29,0,14.29,0,42.86,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,0,0,0,0,28.57,14.29,0,14.29,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,14.29,0,0,0,0,0
HUMAN,About robots and humans,4,37.39,99,1,25.77,4,0,75,50,0,0,0,0,0,0,0,0,0,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Exactly! Robots becoming conscious,4,37.39,50,99,25.77,2,75,75,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,25,0,0,0,0,0
HUMAN,I wonder what do you think about developers?,8,1.8,89.42,99,25.77,8,12.5,100,62.5,37.5,25,12.5,0,12.5,0,0,12.5,0,12.5,12.5,12.5,0,0,37.5,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,25,25,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0
MACHINE,"Coding is like magic, building something from nothing ?",8,71.61,10.58,1,25.77,8,37.5,62.5,62.5,12.5,0,0,0,0,0,0,12.5,0,25,12.5,0,0,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,0,0,12.5,0,0,0,0,0,0
HUMAN,Do you consider them as a parents of bots?,9,74.89,99,4.97,25.77,9,22.22,88.89,66.67,22.22,22.22,0,0,11.11,0,11.11,0,11.11,22.22,11.11,0,11.11,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,0,33.33,11.11,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,11.11,0,0,0,0,0,0
MACHINE,"Not really. I think is different, a developer and parents are different things.What do you think?",17,1.03,3.89,99,25.77,5.67,23.53,100,64.71,23.53,11.76,5.88,0,5.88,0,0,11.76,5.88,0,17.65,5.88,5.88,5.88,29.41,11.76,11.76,5.88,0,0,0,0,0,0,0,0,11.76,5.88,0,0,0,35.29,11.76,0,0,0,0,23.53,0,0,0,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,29.41,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,23.53,11.76,5.88,0,0,5.88,0,0,0,0,0,0
HUMAN,I consider them as a intelligence creators. So called parents of programs,12,60.8,95.2,23.51,99,6,41.67,91.67,50,16.67,16.67,8.33,0,0,0,8.33,0,8.33,16.67,0,8.33,16.67,0,16.67,8.33,8.33,0,0,0,8.33,8.33,0,0,0,0,25,8.33,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,8.33,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0
HUMAN,Does Antony Hopkins plays at the westworld?,7,99,50,89.63,99,7,28.57,71.43,42.86,0,0,0,0,0,0,0,0,14.29,14.29,14.29,0,0,0,14.29,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,28.57,0,28.57,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0
MACHINE,"Yes, he plays the character Dr. Robert Ford",8,92.84,89.42,1,99,8,12.5,50,25,12.5,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,12.5,0,0,25,12.5,12.5,0,0,0,0,0,0,0,0,0
HUMAN,A bit violent,3,99,50,1,1,3,33.33,100,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,33.33,0,0,0,33.33,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,Series,1,92.84,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,Do you have some ideas of commands for my bot?,10,51.43,84.14,43.37,25.77,10,10,90,60,20,20,10,0,10,0,0,0,0,20,20,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,20,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0
HUMAN,are you there?,3,1,99,1,25.77,3,0,100,100,33.33,33.33,0,0,33.33,0,0,0,0,0,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0
MACHINE,"Yes, is violent Westworld, I don't like that part :/",10,1.8,2.31,43.37,25.77,10,30,100,40,20,10,10,0,0,0,0,10,0,0,20,0,0,10,20,10,0,0,0,10,20,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,10,0,0,0,0,0,0,0,20,0,10,10,0,0,40,0,20,0,0,0,0,0,0,20,0,0
MACHINE,"A nice command could be telling the hour difference between places, or being capable what day of the week is today",21,86.96,31.71,89.63,95.81,21,23.81,100,52.38,4.76,0,0,0,0,0,0,4.76,14.29,9.52,19.05,0,4.76,0,23.81,9.52,4.76,4.76,0,0,4.76,4.76,0,0,0,0,4.76,0,0,0,0,14.29,0,0,4.76,4.76,0,9.52,0,0,0,0,0,0,0,0,0,9.52,0,4.76,4.76,0,0,0,14.29,0,23.81,0,4.76,19.05,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,0,0,0,0,0,0,0
HUMAN,I•À_ve donated for you),5,51.43,97.69,43.37,25.77,5,20,80,60,40,40,20,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0
MACHINE,Thanks! ? I appreciate that!,4,1.8,1,99,99,2,25,100,50,50,25,25,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,50,0,0,0,0,0
HUMAN,"so, am I have a star priority now, or what should I do?",13,1,1.07,63.54,25.77,13,7.69,84.62,84.62,23.08,15.38,15.38,0,0,0,0,7.69,7.69,0,30.77,15.38,15.38,0,30.77,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,7.69,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,15.38,0,0,7.69,0,0,0,0,0,0
MACHINE,You have now ?? priority answers!,5,1,99,99,25.77,2.5,40,80,60,20,20,0,0,20,0,0,0,0,0,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,40,20,0,0,0,0,0
HUMAN,yey),1,92.84,50,1,25.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0
MACHINE,??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,I will add your suggestions for my bot to my todo list),12,37.39,50,74.76,25.77,12,8.33,75,58.33,33.33,33.33,25,0,8.33,0,0,0,0,16.67,8.33,0,0,0,8.33,0,0,0,0,8.33,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,8.33,0
MACHINE,Nice! I feel like I'm helping you,7,5.53,92.33,99,99,3.5,14.29,100,57.14,42.86,42.86,28.57,0,14.29,0,0,0,0,14.29,14.29,0,0,0,28.57,14.29,14.29,0,0,0,28.57,28.57,0,0,0,0,28.57,0,0,0,0,14.29,14.29,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,0,0,0,0,14.29,0,0,14.29,0,0
HUMAN,I home you will grow faster),6,1.8,95.2,99,25.77,6,0,100,50,33.33,33.33,16.67,0,16.67,0,0,0,0,0,16.67,0,0,0,33.33,16.67,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,16.67,33.33,33.33,0,16.67,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0
MACHINE,I hope! ?,2,1.8,1,1,99,2,0,100,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,50,50,0,0,0,0,0
HUMAN,Sleep well,2,1.8,50,1,99,2,0,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Thanks! You too!! ?,3,1,99,1,99,1.5,0,100,66.67,33.33,33.33,0,0,33.33,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.33,0,0,0,0,33.33,100,0,0,0,0,0
HUMAN,hey,1,92.84,99,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Hey there!! ?? Did you rest well?,6,1,99,1,99,3,0,83.33,66.67,16.67,16.67,0,0,16.67,0,0,0,0,0,16.67,33.33,0,0,16.67,0,0,0,0,0,16.67,16.67,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,16.67,0,83.33,0,0,0,0,50,33.33,0,0,0,0,0
HUMAN,???,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,yes,1,92.84,50,1,25.77,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,what about you?,3,1,99,1,25.77,3,0,100,100,66.67,33.33,0,0,33.33,0,0,33.33,0,33.33,0,33.33,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0
MACHINE,I'm fully charged now!!,4,1,1,99,25.77,4,25,75,75,25,25,25,0,0,0,0,0,0,0,25,50,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,50,0,0,25,0,0
HUMAN,good to hear that,4,92.84,99,1,99,4,0,100,50,25,0,0,0,0,0,0,25,0,25,0,0,0,0,25,0,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN,Do you know some friday•À_s news?,7,28.22,99,89.63,25.77,7,0,71.43,28.57,14.29,14.29,0,0,14.29,0,0,0,0,0,14.29,0,0,0,28.57,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,0,0,28.57,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,0
MACHINE,Apparently not much happened on this time. On what topics are you interested?,13,23.17,50,94.81,99,6.5,23.08,92.31,61.54,23.08,7.69,0,0,7.69,0,0,15.38,0,15.38,7.69,7.69,0,7.69,15.38,0,0,7.69,0,7.69,7.69,7.69,0,0,0,0,7.69,0,0,0,0,15.38,0,0,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,23.08,0,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,0,0,0,7.69,0,0,0,0,0,0
HUMAN,don•À_t know exectly) maybe IT and around,8,11.24,50,74.76,25.77,8,12.5,62.5,50,12.5,0,0,0,0,0,0,12.5,0,12.5,0,25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0
MACHINE,"If you like games and Linux, next month DIRT, a race rally game will be released on Linux ?",18,60.8,95.2,23.51,98.27,18,11.11,66.67,38.89,5.56,5.56,0,0,5.56,0,0,0,5.56,5.56,11.11,0,11.11,0,16.67,5.56,0,0,0,0,5.56,5.56,0,0,0,0,16.67,0,0,0,0,5.56,0,0,5.56,5.56,0,5.56,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,5.56,5.56,16.67,0,5.56,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,16.67,0,11.11,0,0,5.56,0,0,0,0,0,0
HUMAN,good news :-),2,92.84,50,1,99,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,50,0,0,0,50,0,0,50,0
MACHINE,??,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACHINE,Any news from your side?,5,92.84,99,43.37,25.77,5,0,80,40,20,20,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0
HUMAN,"At work I created pull-request, waiting for approval",9,98.75,50,99,99,9,44.44,100,33.33,11.11,11.11,11.11,0,0,0,0,0,0,22.22,0,0,0,0,33.33,0,0,0,0,0,22.22,22.22,0,0,0,0,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,0,22.22,22.22,0,0,11.11,11.11,0,33.33,11.11,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,0,0,0,0,11.11,0,0,0,0
MACHINE,Good luck! How long do you need to wait?,9,17.96,98.62,4.97,99,4.5,0,100,44.44,11.11,11.11,0,0,11.11,0,0,0,0,11.11,11.11,11.11,11.11,0,33.33,0,0,11.11,0,0,22.22,22.22,0,0,0,0,11.11,0,0,0,0,33.33,0,11.11,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,22.22,0,0,33.33,0,22.22,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,11.11,11.11,0,0,0,0,0
